texte,sentiment
"Développer les infrastructures sportives et culturelles",1
"Politique efficace de lutte contre le chômage",1
"Favoriser l'accès au crédit pour les entrepreneurs",1
"Un secteur de la santé performant et modernisé",1
"Renforcer la compétitivité de notre économie",1
"Développer les partenariats public-privé",1
"Améliorer les conditions de vie des citoyens",1
"Un projet porteur d'espoir et d'optimisme",1
"Politique ambitieuse de développement durable",1
"Renforcer l'attractivité pour les investisseurs",1
"Développer les compétences et les qualifications",1
"Un système éducatif adapté aux besoins du marché",1
"Améliorer l'efficacité des dépenses publiques",1
"Promouvoir l'excellence et la qualité",1
"Un projet de modernisation globale du pays",1
"Développer les infrastructures numériques",1
"Améliorer l'accès à l'eau potable et l'assainissement",1
"Renforcer la sécurité alimentaire nationale",1
"Un programme réaliste et bien financé",1
"Développer les énergies alternatives",1
"Améliorer la mobilité et les transports urbains",1
"Promouvoir l'économie circulaire et verte",1
"Renforcer les droits des consommateurs",1
"Développer le commerce extérieur et les exportations",1
"Améliorer la formation des enseignants",1
"Un projet inclusif qui profite à tous",1
"Développer les industries créatives et culturelles",1
"Améliorer l'accès aux technologies de l'information",1
"Renforcer la cohésion sociale et territoriale",1
"Développer l'économie sociale et solidaire",1
"Améliorer la gestion des ressources naturelles",1
"Un avenir radieux pour notre nation",1
"Développer les infrastructures énergétiques",1
"Améliorer la qualité des services hospitaliers",1
"Grave crise économique qui persiste et s'aggrave",0
"Problèmes majeurs dans le système de santé public",0
"Échec cuisant des politiques précédentes mal conçues",0
"Corruption généralisée et impunité totale inquiétante",0
"Chômage massif et précarité croissante alarmante",0
"Manque cruel de ressources et d'investissements",0
"Système éducatif en déliquescence avancée",0
"Infrastructure vétuste et dangereuse pour tous",0
"Injustice sociale criante et inégalités croissantes",0
"Pauvreté endémique touchant des millions de citoyens",0
"Insécurité grandissante dans toutes les régions",0
"Services publics défaillants et inefficaces",0
"Dette publique écrasante et insoutenable",0
"Stagnation économique prolongée et inquiétante",0
"Bureaucratie paralysante et corrompue",0
"Système de santé au bord de l'effondrement",0
"Chômage des jeunes atteignant des niveaux catastrophiques",0
"Corruption endémique à tous les niveaux",0
"Échec total de la politique sociale",0
"Infrastructure délabrée nécessitant rénovation urgente",0
"Déficit budgétaire chronique et alarmant",0
"Système judiciaire lent et peu efficace",0
"Crise du logement touchant les classes moyennes",0
"Dégradation continue des services publics",0
"Baisse inquiétante du pouvoir d'achat",0
"Fracture sociale de plus en plus profonde",0
"Système éducatif inadapté aux besoins réels",0
"Dépendance excessive aux importations",0
"Fuite des cerveaux vers l'étranger",0
"Pollution environnementale alarmante",0
"Système de retraite en grave difficulté",0
"Discrimination persistante contre certaines catégories",0
"Gaspillage énorme des ressources publiques",0
"Clientélisme politique généralisé et nuisible",0
"Absence totale de transparence gouvernementale",0
"Politiques publiques incohérentes et contradictoires",0
"Défaillance grave des infrastructures de base",0
"Insécurité alimentaire touchant les plus vulnérables",0
"Crise de confiance envers les institutions",0
"Échec des réformes structurelles nécessaires",0
"Détérioration inquiétante des indicateurs sociaux",0
"Pénurie récurrente de médicaments essentiels",0
"Système fiscal injuste pénalisant les classes moyennes",0
"Absence de vision stratégique claire",0
"Délabrement avancé des hôpitaux publics",0
"Bureaucratie excessive freinant l'investissement",0
"Faiblesse chronique du secteur manufacturier",0
"Dégradation continue de l'environnement urbain",0
"Inefficacité manifeste des politiques publiques",0
"Corruption au sein de l'administration",0
"Déficit commercial structurel et préoccupant",0
"Système de santé à deux vitesses injuste",0
"Échec de la politique de l'emploi",0
"Infrastructures scolaires dans un état lamentable",0
"Insécurité routière causant de nombreux décès",0
"Manque criant d'investissement public",0
"Dégradation des services de santé maternelle",0
"Bureaucratie kafkaïenne décourageant les entrepreneurs",0
"Perte de compétitivité de l'économie nationale",0
"Système éducatif reproduisant les inégalités",0
"Défaillance grave du système de protection sociale",0
"Corruption dans l'attribution des marchés publics",0
"Dégradation alarmante de l'état de droit",0
"Manque flagrant de transparence budgétaire",0
"Faiblesse structurelle du secteur bancaire",0
"Crise profonde de l'enseignement public",0
"Échec des politiques de développement rural",0
"Dégradation continue de la qualité de l'eau",0
"Insuffisance criante des infrastructures sanitaires",0
"Blocage persistant des réformes nécessaires",0
"Inefficacité notoire de l'appareil judiciaire",0
"Dégradation inquiétante du climat social",0
"Manque cruel d'opportunités pour les jeunes",0
"Échec patent de la politique industrielle",0
"Dégradation alarmante des finances publiques",0
"Faiblesse chronique de l'innovation technologique",0
"Corruption systémique dans les services publics",0
"Dégradation continue du système de transport",0
"Inefficacité flagrante des dépenses publiques",0
"Crise majeure du secteur de la construction",0
"Dégradation préoccupante de la sécurité alimentaire",0
"Échec des politiques de lutte contre la pauvreté",0
"Insuffisance grave des infrastructures énergétiques",0
"Dégradation alarmante de la cohésion sociale",0
"Faiblesse structurelle du marché du travail",0
"Corruption endémique dans le secteur de la santé",0
"Dégradation inquiétante du patrimoine culturel",0
"Échec manifeste des politiques urbaines",0
"Insuffisance criante des ressources humaines qualifiées",0
"Dégradation continue de l'environnement naturel",0
"Faiblesse chronique du système de recherche",0
"Crise profonde touchant le secteur agricole",0
"Dégradation alarmante de la gouvernance publique",0
"Inefficacité totale des mécanismes de contrôle",0
"Situation économique difficile nécessitant vigilance",0
"Défis importants à relever dans tous les secteurs",0
"La situation politique actuelle du pays",2
"Le contexte économique national contemporain",2
"Les indicateurs de développement social",2
"Le niveau actuel de croissance économique",2
"La structure démographique de la population",2
"Le taux d'inflation observé cette année",2
"Le système politique marocain actuel",2
"Les données statistiques sur l'emploi",2
"La répartition géographique de la population",2
"Le cadre juridique en vigueur",2
"Les institutions politiques du royaume",2
"Le système électoral marocain",2
"La composition du gouvernement actuel",2
"Les relations diplomatiques bilatérales",2
"Le positionnement géopolitique du pays",2
"Les accords commerciaux internationaux signés",2
"La balance commerciale du pays",2
"Le système monétaire et la politique monétaire",2
"La structure du PIB par secteur",2
"Les flux d'investissements directs étrangers",2
"La répartition des dépenses publiques",2
"Le système fiscal marocain",2
"Les mécanismes de gouvernance locale",2
"La décentralisation administrative en cours",2
"Le cadre réglementaire des affaires",2
"Les indicateurs macroéconomiques actuels",2
"La politique budgétaire gouvernementale",2
"Les statistiques sur le commerce extérieur",2
"Le système bancaire et financier national",2
"La structure du marché du travail",2
"Les niveaux de scolarisation par région",2
"Le système de protection sociale existant",2
"Les infrastructures de santé disponibles",2
"La couverture médicale de base",2
"Le réseau de transport routier national",2
"Les infrastructures portuaires et aéroportuaires",2
"Le système d'approvisionnement en eau",2
"Les réseaux de télécommunications",2
"La production énergétique nationale",2
"Les ressources naturelles du territoire",2
"La diversité géographique et climatique",2
"Les caractéristiques du secteur agricole",2
"La production industrielle par branche",2
"Le secteur des services dans l'économie",2
"Les zones touristiques principales",2
"Le patrimoine culturel et historique",2
"Les langues officielles et parlées",2
"La composition ethnique de la société",2
"Les pratiques religieuses dominantes",2
"Le système éducatif dans son ensemble",2
"Les universités et établissements supérieurs",2
"La recherche scientifique au niveau national",2
"Les médias et la presse au Maroc",2
"Le paysage audiovisuel actuel",2
"Les technologies de l'information utilisées",2
"La connectivité internet dans le pays",2
"Les réseaux sociaux et leur usage",2
"La société civile et les associations",2
"Les syndicats et organisations professionnelles",2
"Les partis politiques représentés",2
"Le processus électoral en place",2
"Les droits et libertés constitutionnels",2
"Le cadre législatif existant",2
"Le système judiciaire marocain",2
"Les forces de sécurité et leur organisation",2
"La politique de défense nationale",2
"Les relations avec les pays voisins",2
"L'appartenance aux organisations internationales",2
"Les engagements en matière de droits humains",2
"La politique environnementale officielle",2
"Les zones protégées et parcs nationaux",2
"La biodiversité du territoire national",2
"Les ressources en eau disponibles",2
"La gestion des déchets urbains",2
"L'urbanisation et la croissance des villes",2
"La planification territoriale en cours",2
"Les projets d'infrastructure en développement",2
"La stratégie de développement adoptée",2
"Les objectifs du millénaire pour le développement",2
"Les partenariats de développement existants",2
"La coopération Sud-Sud pratiquée",2
"Les programmes d'aide internationale reçus",2
"La diaspora marocaine à l'étranger",2
"Les flux migratoires observés",2
"La population urbaine et rurale",2
"Les taux de natalité et de mortalité",2
"L'espérance de vie moyenne",2
"Les structures familiales traditionnelles",2
"Les changements sociaux en cours",2
"Les habitudes de consommation des ménages",2
"Le marché immobilier actuel",2
"Les prix à la consommation",2
"Le coût de la vie dans les grandes villes",2
"Les revenus moyens par catégorie",2
"La distribution des richesses",2
"Les classes sociales dans la société",2
"La mobilité sociale observée",2
"Les traditions culturelles locales",2
"Les festivités et célébrations nationales",2
"La cuisine marocaine traditionnelle",2
"L'artisanat et les métiers traditionnels",2
"L'architecture locale caractéristique",2
"La musique et les arts du spectacle",2
"Le système sportif et les équipes nationales",2
"Notre programme électoral pour les prochaines années",2
"Les propositions de notre formation politique",2
"La plateforme de notre parti politique",2
"Nos axes prioritaires de campagne électorale",2
"Les engagements de notre mouvement politique",2
"Notre vision pour le développement du pays",2
"Les orientations stratégiques de notre parti",2
"Le projet de société que nous proposons",2
"Notre position sur les questions actuelles",2
"Les valeurs défendues par notre formation",2
"L'historique et l'évolution de notre parti",2
"Notre représentation au sein du parlement",2
"Les résultats de notre parti aux dernières élections",2
"Notre implantation territoriale nationale",2
"Les instances dirigeantes de notre formation",2
"Le congrès national de notre parti",2
"Les sections régionales et locales",2
"Notre organisation interne et fonctionnement",2
"Les adhérents et militants de notre parti",2
"Notre communication et stratégie médiatique",2
"Les alliances politiques que nous avons formées",2
"Notre participation aux coalitions gouvernementales",2
"Les réformes institutionnelles que nous soutenons",2
"Notre position sur la décentralisation",2
"Les questions économiques dans notre programme",2
"Notre approche des politiques sociales",2
"Les mesures éducatives que nous préconisons",2
"Notre stratégie en matière de santé publique",2
"Les propositions pour l'emploi et la formation",2
"Notre vision du développement durable",2
"Les mesures environnementales que nous soutenons",2
"Notre politique en matière d'infrastructures",2
"Les réformes fiscales que nous proposons",2
"Notre approche de la gouvernance publique",2
"Les mesures anticorruption que nous défendons",2
"Notre position sur la justice et l'État de droit",2
"Les droits humains dans notre programme",2
"Notre vision de la politique étrangère",2
"Les questions de sécurité dans notre approche",2
"Notre stratégie de développement régional",2
"Les mesures pour le monde rural",2
"Notre approche du développement urbain",2
"Les politiques culturelles que nous soutenons",2
"Notre vision du sport et de la jeunesse",2
"Les mesures pour la famille et l'enfance",2
"Notre approche de l'égalité des genres",2
"Les politiques pour les personnes en situation de handicap",2
"Notre vision de la protection sociale",2
"Les mesures pour les seniors et retraités",2
"Notre approche de l'innovation technologique",2
"Les politiques numériques que nous préconisons",2
"Notre vision de l'enseignement supérieur et recherche",2
"Les mesures pour l'entrepreneuriat",2
"Notre approche du secteur privé",2
"Les politiques agricoles que nous soutenons",2
"Notre vision du tourisme et de l'artisanat",2
"Les mesures pour le secteur industriel",2
"Notre approche des services et du tertiaire",2
"Les politiques énergétiques que nous défendons",2
"Notre vision des transports et de la logistique",2
"Les mesures pour le logement social",2
"Notre approche de l'aménagement du territoire",2
"Les politiques de l'eau que nous soutenons",2
"Notre vision de la gestion des déchets",2
"Les mesures pour la qualité de l'air",2
"Notre approche de la préservation du patrimoine",2
"Les politiques pour le dialogue social",2
"Notre vision des relations avec les syndicats",2
"Les mesures pour renforcer la société civile",2
"Notre approche de la participation citoyenne",2
"Les politiques de transparence que nous défendons",2
"Notre vision de la lutte contre les inégalités",2
"Les mesures pour la cohésion sociale",2
"Notre approche du vivre-ensemble",2
"Les politiques pour l'intégration",2
"Notre vision de la diaspora",2
"Les mesures pour les Marocains du monde",2
"Notre approche de la coopération internationale",2
"Les politiques pour l'Afrique",2
"Notre vision des relations avec l'Europe",2
"Les mesures pour le partenariat arabe",2
"Notre approche des organisations internationales",2
"Les politiques commerciales que nous soutenons",2
"Notre vision de l'attractivité du territoire",2
"Les mesures pour améliorer le climat des affaires",2
"Notre approche de la compétitivité",2
"Les politiques d'investissement que nous défendons",2
"Notre vision de la formation professionnelle",2
"Les mesures pour l'adéquation formation-emploi",2
"Notre approche de la reconversion professionnelle",2
"Les politiques pour l'apprentissage",2
"Notre vision de la validation des acquis",2
"Les mesures pour la mobilité professionnelle",2
"Notre approche du marché du travail",2
"Les politiques pour les conditions de travail",2
"Notre vision de la santé au travail",2
"Les mesures pour la sécurité au travail",2
"Notre approche du dialogue social dans l'entreprise",2

